,Code
1810,JRI
1811,JRS
1812,JT
1813,JUN.U
1814,JWN
1815,JWS.T
1816,JXN
1817,K
1818,KAH.W
1819,KAI
1820,KAR
1821,KBH
1822,KCG.U
1823,KCGI
1824,KEN
1825,KEX
1826,KEY-I
1827,KEY-K
1828,KEYS
1829,KFS
1830,KGC
1831,KIM-L
1832,KIND
1833,KKR
1834,KKRS
1835,KMB
1836,KMI
1837,KMPR
1838,KMX
1839,KNOP
1840,KNS.W
1841,KNSW
1842,KNX
1843,KODK
1844,KOP
1845,KORE
1846,KR
1847,KRE-A
1848,KRG
1849,KRP
1850,KSS
1851,KTB
1852,KTH
1853,KUKE
1854,KWR
1855,KAH.U
1856,KAHC
1857,KAMN
1858,KB
1859,KBR
1860,KCG.W
1861,KD
1862,KEP
1863,KEY
1864,KEY-J
1865,KEY-L
1866,KF
1867,KFY
1868,KIM
1869,KIM-M
1870,KIO
1871,KKR-C
1872,KLR
1873,KMF
1874,KMPB
1875,KMT
1876,KN
1877,KNS.U
1878,KNSL
1879,KNTK
1880,KO
1881,KOF
1882,KOR.W
1883,KOS
1884,KRC
1885,KREF
1886,KRO
1887,KSM
1888,KT
1889,KTF
1890,KTN
1891,KW
1892,KYN
1893,L
1894,LAD
1895,LAW
1896,LBRT
1897,LCI
1898,LCW
1899,LDI
1900,LDP
1901,LEG
1902,LEN
1903,LEO
1904,LEV.W
1905,LFG
1906,LFT-A
1907,LGF.B
1908,LGV
1909,LGV.W
1910,LHC
1911,LHC.W
1912,LICY
1913,LIN
1914,LL
1915,LLAP
1916,LMND
1917,LNC
1918,LND
1919,LOC.T
1920,LOC.W
1921,LOCL
1922,LOK.T
1923,LOMA
1924,LPG
1925,LPL
1926,LRN
1927,LSPD
1928,LTH
1929,LU
1930,LUV
1931,LVW.W
1932,LW
1933,LXP
1934,LXU
1935,LYG
1936,LZB
1937,LAC
1938,LADR
1939,LAZ
1940,LC
1941,LCII
1942,LCW.W
1943,LDOS
1944,LEA
1945,LEJU
1946,LEN.B
1947,LEV
1948,LEVI
1949,LFT
1950,LGF.A
1951,LGI
1952,LGV.U
1953,LH
1954,LHC.U
1955,LHX
1956,LII
1957,LITB
1958,LLA.W
1959,LLY
1960,LMT
1961,LNC-D
1962,LNN
1963,LOC.U
1964,LOCC
1965,LOK.S
1966,LOKM
1967,LOW
